sub_title,name,本期,上期,变化
原油,美国原油产量（千桶/天）,12300.0,12300.0,0.0
原油,美国原油出口（千桶/天）,2876.0,4737.0,-1861.0
原油,美国原油成品油总库存包含战略储备（百万桶）,1596.75,1599.19,-2.44
原油,美国原油成品油总库存去除战略储备（百万桶）,1234.74,1234.26,0.48
原油,美国原油进口（千桶/天）,5553.0,6396.0,-843.0
原油,美国商业原油库存（百万桶）,462.58,459.63,2.95
原油,美国库欣原油库存（百万桶）,34.01,33.61,0.4
原油,美国战略原油储备（百万桶）,362.01,364.94,-2.92
原油,美国炼厂产能利用率（%）,91.0,90.7,0.3
原油,美国炼厂运营炼能（千桶/天）,18031.0,18061.0,-30.0
柴油,美国柴油产量（千桶/天）,4606.0,4576.0,30.0
柴油,美国柴油出口（千桶/天）,1278.0,1018.0,260.0
柴油,美国柴油库存（百万桶）,106.15,110.32,-4.17
柴油,美国柴油进口（千桶/天）,111.0,144.0,-33.0
柴油,美国柴油需求（千桶/天）,4035.0,3872.0,163.0
汽油,美国汽油产量（千桶/天）,9823.0,9378.0,445.0
汽油,美国汽油出口（千桶/天）,760.0,841.0,-81.0
汽油,美国汽油库存（百万桶）,219.71,222.88,-3.17
汽油,美国汽油进口（千桶/天）,853.0,798.0,55.0
汽油,美国汽油需求（千桶/天）,9303.0,8618.0,685.0
燃料油,美国燃料油产量（千桶/天）,290.0,308.0,-18.0
燃料油,美国燃料油出口（千桶/天）,56.0,117.0,-61.0
燃料油,美国燃料油库存（百万桶）,33.13,32.32,0.82
燃料油,美国燃料油进口（千桶/天）,114.0,34.0,80.0
燃料油,美国燃料油需求（千桶/天）,230.0,233.0,-3.0
航煤,美国航煤产量（千桶/天）,1685.0,1631.0,54.0
航煤,美国航煤出口（千桶/天）,102.0,99.0,3.0
航煤,美国航煤库存（百万桶）,39.89,41.6,-1.72
航煤,美国航煤进口（千桶/天）,88.0,125.0,-37.0
航煤,美国航煤需求（千桶/天）,1917.0,1539.0,378.0
