STUB_1,STUB_2,variable,value,name,sub_title
Crude Oil Production ,Domestic Production,2018-12-28,11700.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-01-04,11700.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-01-11,11900.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-01-18,11900.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-01-25,11900.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-02-01,11900.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-02-08,11900.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-02-15,12000.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-02-22,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-03-01,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-03-08,12000.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-03-15,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-03-22,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-03-29,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-04-05,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-04-12,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-04-19,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-04-26,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-05-03,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-05-10,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-05-17,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-05-24,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-05-31,12400.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-06-07,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-06-14,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-06-21,12100.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-07-05,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-07-12,12000.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-07-19,11300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-07-26,12200.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-08-02,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-08-09,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-08-16,12300.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-08-23,12500.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-08-30,12400.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-09-06,12400.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-09-13,12400.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-09-20,12500.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-09-27,12400.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-10-04,12600.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-10-11,12600.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-10-18,12600.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-10-25,12600.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-11-01,12600.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-11-08,12800.0,美国原油产量（千桶/天）,原油
Crude Oil Production ,Domestic Production,2019-11-15,12800.0,美国原油产量（千桶/天）,原油
